Accession,Length,Geo_Location,Collection_Date,GenBank_Title
NC_045512,29903,China,2019-12,"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome"
MT339039,29896,USA,2020-03-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AZ-ASU2922/2020, complete genome"
MT339040,29807,USA,2020-03-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AZ-ASU2923/2020, complete genome"
MT339041,29903,USA,2020-03-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AZ-ASU2936/2020, complete genome"
MT334523,29901,USA: UT,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00003/2020, complete genome"
MT334526,29896,USA: UT,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00006/2020, complete genome"
MT334529,29903,USA: UT,2020-03-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00010/2020, complete genome"
MT334531,29864,USA: UT,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00012/2020, complete genome"
MT334533,29902,USA: UT,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00014/2020, complete genome"
MT334534,29895,USA: UT,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00015/2020, complete genome"
MT334535,29900,USA: UT,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00016/2020, complete genome"
MT334536,29899,USA: UT,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00017/2020, complete genome"
MT334537,29901,USA: UT,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00019/2020, complete genome"
MT334538,29903,USA: UT,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00020/2020, complete genome"
MT334539,29862,USA: UT,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00021/2020, complete genome"
MT334540,29901,USA: UT,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00022/2020, complete genome"
MT334541,29902,USA: UT,2020-03-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00023/2020, complete genome"
MT334542,29903,USA: UT,2020-03-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00025/2020, complete genome"
MT334544,29903,USA: UT,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00028/2020, complete genome"
MT334546,29899,USA: UT,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00032/2020, complete genome"
MT334547,29903,USA: UT,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00033/2020, complete genome"
MT334557,29840,USA: UT,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00290/2020, complete genome"
MT334561,29878,USA: UT,2020-03-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00301/2020, complete genome"
MT325561,29882,USA: AZ,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AZ_8132/2020, complete genome"
MT325569,29882,USA: GA,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_1621/2020, complete genome"
MT325567,29882,USA: FL,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL_9655/2020, complete genome"
MT325578,29882,USA: IL,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL_0089/2020, complete genome"
MT325591,29882,USA: NC,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NC_6999/2020, complete genome"
