Accession,Length,Geo_Location,Collection_Date,GenBank_Title
NC_045512,29903,China,2019-12,"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome"
LC534418,29878,Japan,2020-02-14,"Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/DP/Kng/19-031 RNA, complete genome"
LC534419,29874,Japan,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/Kng/19-437 RNA, complete genome"
MT253698,29781,China,2020-01-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-185/human/2020/CHN, complete genome"
MT253699,29781,China,2020-01-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-477/human/2020/CHN, complete genome"
MT253708,29781,China,2020-01-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-79/human/2020/CHN, complete genome"
MT253710,29781,China,2020-01-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-91/human/2020/CHN, complete genome"
MT253700,29781,China,2020-01-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-481/human/2020/CHN, complete genome"
MT253701,29781,China,2020-01-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-48/human/2020/CHN, complete genome"
MT251972,29861,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW236/human/2020/USA, complete genome"
MT251973,29871,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW237/human/2020/USA, complete genome"
MT253696,29781,China,2020-01-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-162/human/2020/CHN, complete genome"
MT253697,29781,China,2020-01-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-178/human/2020/CHN, complete genome"
MT253703,29781,China,2020-01-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-551/human/2020/CHN, complete genome"
MT253704,29781,China,2020-01-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-576/human/2020/CHN, complete genome"
MT253705,29781,China,2020-01-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-60/human/2020/CHN, complete genome"
MT253706,29781,China,2020-01-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-62/human/2020/CHN, complete genome"
MT253707,29781,China,2020-01-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-638/human/2020/CHN, complete genome"
MT253709,29781,China,2020-01-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-90/human/2020/CHN, complete genome"
MT251974,29852,USA,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW238/human/2020/USA, complete genome"
MT251975,29875,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW239/human/2020/USA, complete genome"
MT251976,29899,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW240/human/2020/USA, complete genome"
MT251977,29829,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW234/human/2020/USA, complete genome"
MT251978,29905,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW235/human/2020/USA, complete genome"
MT251979,29839,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW241/human/2020/USA, complete genome"
MT251980,29845,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW242/human/2020/USA, complete genome"
MT253702,29781,China,2020-01-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HZ-49/human/2020/CHN, complete genome"
MT246453,29823,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW196/human/2020/USA, complete genome"
MT246454,29892,USA,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW197/human/2020/USA, complete genome"
MT246455,29857,USA,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW198/human/2020/USA, complete genome"
MT246457,29843,USA,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW200/human/2020/USA, complete genome"
MT246462,29903,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW205/human/2020/USA, complete genome"
MT246463,29782,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW206/human/2020/USA, partial genome"
MT246464,29818,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW207/human/2020/USA, complete genome"
MT246467,29899,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW210/human/2020/USA, complete genome"
MT246479,29828,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW222/human/2020/USA, complete genome"
MT233526,29847,USA,2020-01-19,"Severe acute respiratory syndrome coronavirus 2 strain FDAARGOS_983 isolate 2019-nCoV/USA-WA1/2020, complete genome"
MT246449,29828,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW192/human/2020/USA, complete genome"
MT246451,29868,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW194/human/2020/USA, complete genome"
MT246461,29877,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW204/human/2020/USA, complete genome"
MT246450,29872,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW193/human/2020/USA, complete genome"
MT246452,29888,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW195/human/2020/USA, complete genome"
MT246456,29846,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW199/human/2020/USA, complete genome"
MT246458,29765,USA,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW201/human/2020/USA, complete genome"
MT246459,29909,USA,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW202/human/2020/USA, complete genome"
MT246460,29917,USA,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW203/human/2020/USA, complete genome"
MT246468,29843,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW211/human/2020/USA, complete genome"
MT246477,29886,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW220/human/2020/USA, complete genome"
MT246478,29889,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW221/human/2020/USA, complete genome"
MT246465,29781,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW208/human/2020/USA, partial genome"
MT246469,29869,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW212/human/2020/USA, complete genome"
MT246470,29860,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW213/human/2020/USA, complete genome"
MT246471,29871,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW214/human/2020/USA, complete genome"
MT246472,29810,USA,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW215/human/2020/USA, complete genome"
MT246473,29825,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW216/human/2020/USA, complete genome"
MT246474,29884,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW217/human/2020/USA, complete genome"
MT246480,29904,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW223/human/2020/USA, complete genome"
MT246483,29765,USA,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW226/human/2020/USA, partial genome"
MT246485,29775,USA,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW228/human/2020/USA, complete genome"
MT246667,29867,USA,2020-01-19,"Severe acute respiratory syndrome coronavirus 2 strain FDAARGOS_983 isolate 2019-nCoV/USA-WA1/2020, complete genome"
MT246466,29897,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW209/human/2020/USA, complete genome"
